soc,r0,r1,c1,temp
1.0,0.005951394937953763,0.002942226833557993,10659.63644818458,273.15
0.3,0.005820267341944452,0.01191251095784229,2796.826156026427,273.15
0.2,0.005448174861421446,0.02288056860252785,310.8953365299167,273.15
0.1,0.006402093414632933,0.02162216017254803,187.0069469068142,273.15
0.0,0.006696540204246983,0.02105072336520386,151.7301311287385,273.15
0.2,0.004112796701757186,0.00727416183800178,6123.883917089725,283.15
0.1,0.004035464078369001,0.02021377126721668,278.0496591211945,283.15
0.0,0.004414548033179025,0.02073290184752785,200.6013726876527,283.15
0.1,0.003161074765420227,0.005110572811746317,6394.636556584668,293.15
0.0,0.003273167026465186,0.01953833226002766,336.1303773247918,293.15
0.9,0.002228751898936594,0.002447516297800489,17259.70861759216,303.15
0.7,0.002234497238121432,0.002807647088507115,33555.91017288352,303.15
0.3,0.002341322847408772,0.003101178137573934,28125.50241699341,303.15
0.1,0.00244528120733883,0.003008504372037701,13290.27868372794,303.15
0.0,0.002597051670819939,0.006582941178095658,4305.460289008968,303.15
0.9,0.001801224832886364,0.001984741418981639,18261.15315383416,313.15
0.7,0.001808779074124966,0.002443210691365105,47572.24345204759,313.15
0.0,0.002089770125286233,0.003450240425680984,15311.6194135472,313.15
